,OPT BPE,Llama 2,Bloom,Gemma,Language-dedicated BPE
amh,10.612963139142263,11.467853593456836,7.02467535484333,4.480106860992379,1.622256808164071
eng,1.1853000594604157,1.404194455126554,1.179890319692579,1.2225257139343029,1.1491126661068043
hau,2.0069332097818307,2.0662542809682627,1.6737545989420974,1.6645701981120318,1.136917091321873
ibo,2.9080749949563036,2.4313235991225697,1.6123861345455963,2.00479434790308,1.373797590173646
yor,2.9416514186794496,2.5727462263718084,1.5467986122585595,2.003286881674116,1.2159767433163688
