,words count,OPT BPE token count,OPT BPE token/words,OPT BPE tokenisation time,opt-ibo-replaced-100 token count,opt-ibo-replaced-100 token/words,opt-ibo-replaced-100 tokenisation time,opt-ibo-replaced-500 token count,opt-ibo-replaced-500 token/words,opt-ibo-replaced-500 tokenisation time,opt-ibo-replaced-1000 token count,opt-ibo-replaced-1000 token/words,opt-ibo-replaced-1000 tokenisation time,opt-ibo-replaced-2000 token count,opt-ibo-replaced-2000 token/words,opt-ibo-replaced-2000 tokenisation time,opt-ibo-replaced-5000 token count,opt-ibo-replaced-5000 token/words,opt-ibo-replaced-5000 tokenisation time,opt-ibo-replaced-10000 token count,opt-ibo-replaced-10000 token/words,opt-ibo-replaced-10000 tokenisation time,opt-ibo-replaced-15000 token count,opt-ibo-replaced-15000 token/words,opt-ibo-replaced-15000 tokenisation time,opt-ibo-added-100 token count,opt-ibo-added-100 token/words,opt-ibo-added-100 tokenisation time,opt-ibo-added-500 token count,opt-ibo-added-500 token/words,opt-ibo-added-500 tokenisation time,opt-ibo-added-1000 token count,opt-ibo-added-1000 token/words,opt-ibo-added-1000 tokenisation time,opt-ibo-added-2000 token count,opt-ibo-added-2000 token/words,opt-ibo-added-2000 tokenisation time,opt-ibo-added-5000 token count,opt-ibo-added-5000 token/words,opt-ibo-added-5000 tokenisation time,opt-ibo-added-10000 token count,opt-ibo-added-10000 token/words,opt-ibo-added-10000 tokenisation time,opt-ibo-added-15000 token count,opt-ibo-added-15000 token/words,opt-ibo-added-15000 tokenisation time,ibo token count,ibo token/words,ibo tokenisation time
eng,5008374,5936426,1.1853000594604157,5.413109302520752,5934090,1.184833640618692,5.248668432235718,5932738,1.1845636927274201,5.21016263961792,5931633,1.1843430622393616,5.855979919433594,5933143,1.1846445572954416,5.883470773696899,5948127,1.1876363466466362,5.598582029342651,5986423,1.1952827404662671,5.860833168029785,6041515,1.2062827177043887,6.375327825546265,5955879,1.1891841543782473,5.535911798477173,6103986,1.2187560274053015,5.48088526725769,6322750,1.262435672735303,5.199618577957153,6702758,1.3383101980802552,6.558597087860107,7480172,1.4935330308798824,7.216540336608887,7919092,1.5811702560551588,6.9463067054748535,8147748,1.6268249935008847,6.49006462097168,7074223,1.4124789802039543,5.985666275024414
ibo,4054566,11790982,2.9080749949563036,7.569902658462524,8829656,2.177706812517049,6.681720018386841,7795924,1.9227517815716897,6.503697156906128,8360021,2.0618781393618946,6.048495531082153,7654959,1.8879848052787893,6.716088771820068,8142210,2.0081582097812687,6.458789110183716,8171910,2.015483284770799,6.653740644454956,7427563,1.8319008742242697,6.211709260940552,7844512,1.9347353082919356,6.170954704284668,6872507,1.6950043481842447,5.625614404678345,6508118,1.6051330771283536,4.770437479019165,6249819,1.5414273685518993,5.421356201171875,5972736,1.473088858338969,4.302964448928833,5884441,1.451312174965212,4.50211238861084,5845220,1.4416388831751659,4.32375693321228,5570153,1.373797590173646,6.649167537689209
