,OPT BPE,opt-ibo-replaced-100,opt-ibo-replaced-500,opt-ibo-replaced-1000,opt-ibo-replaced-2000,opt-ibo-replaced-5000,opt-ibo-replaced-10000,opt-ibo-replaced-15000,opt-ibo-added-100,opt-ibo-added-500,opt-ibo-added-1000,opt-ibo-added-2000,opt-ibo-added-5000,opt-ibo-added-10000,opt-ibo-added-15000,ibo
eng,1.1853000594604157,1.184833640618692,1.1845636927274201,1.1843430622393616,1.1846445572954416,1.1876363466466362,1.1952827404662671,1.2062827177043887,1.1891841543782473,1.2187560274053015,1.262435672735303,1.3383101980802552,1.4935330308798824,1.5811702560551588,1.6268249935008847,1.4124789802039543
ibo,2.9080749949563036,2.177706812517049,1.9227517815716897,2.0618781393618946,1.8879848052787893,2.0081582097812687,2.015483284770799,1.8319008742242697,1.9347353082919356,1.6950043481842447,1.6051330771283536,1.5414273685518993,1.473088858338969,1.451312174965212,1.4416388831751659,1.373797590173646
