,OPT BPE,Replaced k=100,Replaced k=2000,Added k=100,Added k=2000,Language-dedicated
amh,10.612963139142263,5.728661055024445,4.083502165435387,4.820733820045224,2.484178953693225,1.622256808164071
hau,2.0069332097818307,1.9197308762891743,1.8295885323028505,1.7759304742513389,1.3639701565365547,1.136917091321873
ibo,2.9080749949563036,2.177706812517049,1.8879848052787893,1.9347353082919356,1.5414273685518993,1.373797590173646
yor,2.9416514186794496,2.13518066709933,1.8707788448200915,1.9545334593309063,1.461277361837853,1.2159767433163688
