,words count,OPT BPE token count,OPT BPE token/words,OPT BPE tokenisation time,opt-yor-replaced-100 token count,opt-yor-replaced-100 token/words,opt-yor-replaced-100 tokenisation time,opt-yor-replaced-500 token count,opt-yor-replaced-500 token/words,opt-yor-replaced-500 tokenisation time,opt-yor-replaced-1000 token count,opt-yor-replaced-1000 token/words,opt-yor-replaced-1000 tokenisation time,opt-yor-replaced-2000 token count,opt-yor-replaced-2000 token/words,opt-yor-replaced-2000 tokenisation time,opt-yor-replaced-5000 token count,opt-yor-replaced-5000 token/words,opt-yor-replaced-5000 tokenisation time,opt-yor-replaced-10000 token count,opt-yor-replaced-10000 token/words,opt-yor-replaced-10000 tokenisation time,opt-yor-replaced-15000 token count,opt-yor-replaced-15000 token/words,opt-yor-replaced-15000 tokenisation time,opt-yor-added-100 token count,opt-yor-added-100 token/words,opt-yor-added-100 tokenisation time,opt-yor-added-500 token count,opt-yor-added-500 token/words,opt-yor-added-500 tokenisation time,opt-yor-added-1000 token count,opt-yor-added-1000 token/words,opt-yor-added-1000 tokenisation time,opt-yor-added-2000 token count,opt-yor-added-2000 token/words,opt-yor-added-2000 tokenisation time,opt-yor-added-5000 token count,opt-yor-added-5000 token/words,opt-yor-added-5000 tokenisation time,opt-yor-added-10000 token count,opt-yor-added-10000 token/words,opt-yor-added-10000 tokenisation time,opt-yor-added-15000 token count,opt-yor-added-15000 token/words,opt-yor-added-15000 tokenisation time,yor token count,yor token/words,yor tokenisation time
eng,5008374,5936426,1.1853000594604157,5.47716498374939,5933509,1.184717634905061,5.5336456298828125,5930712,1.1841591702217127,5.650541305541992,5930709,1.1841585712249125,5.942113876342773,5933171,1.184650147932243,5.10446572303772,5953830,1.1887750395637386,5.659691095352173,6002050,1.1984029147982957,5.623810052871704,6066868,1.2113448396625333,5.553978681564331,5943371,1.186686737052784,5.538859605789185,6064322,1.2108364910447982,5.6415019035339355,6143259,1.2265974945161844,6.012812852859497,6398744,1.277609060345733,5.278234958648682,7224512,1.4424865235703244,5.825490713119507,7795529,1.556498975515806,6.834848165512085,8062195,1.6097430024195478,6.615058898925781,7063202,1.4102784656257699,6.1882123947143555
yor,3770443,11091329,2.9416514186794496,7.412727355957031,8050577,2.13518066709933,6.380970239639282,7441245,1.97357313185745,6.064655780792236,7243342,1.9210851350889007,6.266483306884766,7053665,1.8707788448200915,6.078795671463013,6973398,1.8494903649252885,6.0471343994140625,6871080,1.8223535006363973,6.049677848815918,6851960,1.817282478477993,6.255805730819702,7369457,1.9545334593309063,5.2799506187438965,6324917,1.6774996996374165,5.1354827880859375,5885435,1.5609399213832433,4.429974555969238,5509663,1.461277361837853,3.921048164367676,5143102,1.3640577513040244,3.973341226577759,4950772,1.3130478301886541,3.938404083251953,4859198,1.2887604984347993,3.679647207260132,4584771,1.2159767433163688,5.610263109207153
