,OPT BPE,opt-yor-replaced-100,opt-yor-replaced-500,opt-yor-replaced-1000,opt-yor-replaced-2000,opt-yor-replaced-5000,opt-yor-replaced-10000,opt-yor-replaced-15000,opt-yor-added-100,opt-yor-added-500,opt-yor-added-1000,opt-yor-added-2000,opt-yor-added-5000,opt-yor-added-10000,opt-yor-added-15000,yor
eng,1.1853000594604157,1.184717634905061,1.1841591702217127,1.1841585712249125,1.184650147932243,1.1887750395637386,1.1984029147982957,1.2113448396625333,1.186686737052784,1.2108364910447982,1.2265974945161844,1.277609060345733,1.4424865235703244,1.556498975515806,1.6097430024195478,1.4102784656257699
yor,2.9416514186794496,2.13518066709933,1.97357313185745,1.9210851350889007,1.8707788448200915,1.8494903649252885,1.8223535006363973,1.817282478477993,1.9545334593309063,1.6774996996374165,1.5609399213832433,1.461277361837853,1.3640577513040244,1.3130478301886541,1.2887604984347993,1.2159767433163688
