,OPT BPE,opt-hau-replaced-100,opt-hau-replaced-500,opt-hau-replaced-1000,opt-hau-replaced-2000,opt-hau-replaced-5000,opt-hau-replaced-10000,opt-hau-replaced-15000,opt-hau-added-100,opt-hau-added-500,opt-hau-added-1000,opt-hau-added-2000,opt-hau-added-5000,opt-hau-added-10000,opt-hau-added-15000,hau
eng,1.1853000594604157,1.184243029773735,1.1840671243800882,1.1841663581833146,1.1847144402554601,1.1890797292694195,1.1985366907503314,1.2117373822322375,1.1932138055185175,1.2159778802461638,1.2347348660463455,1.2707261877807048,1.3820960655094847,1.4947434037474039,1.5600424409199474,1.4093689888175285
hau,2.0069332097818307,1.9197308762891743,1.8752519106564658,1.8449846236559369,1.8295885323028505,1.804847938436019,1.7922413110331932,1.7862903696713903,1.7759304742513389,1.5610867549405913,1.4569416713893832,1.3639701565365547,1.272908395719552,1.2305627744050491,1.2108568901160992,1.136917091321873
