,words count,OPT BPE token count,OPT BPE token/words,OPT BPE tokenisation time,opt-hau-replaced-100 token count,opt-hau-replaced-100 token/words,opt-hau-replaced-100 tokenisation time,opt-hau-replaced-500 token count,opt-hau-replaced-500 token/words,opt-hau-replaced-500 tokenisation time,opt-hau-replaced-1000 token count,opt-hau-replaced-1000 token/words,opt-hau-replaced-1000 tokenisation time,opt-hau-replaced-2000 token count,opt-hau-replaced-2000 token/words,opt-hau-replaced-2000 tokenisation time,opt-hau-replaced-5000 token count,opt-hau-replaced-5000 token/words,opt-hau-replaced-5000 tokenisation time,opt-hau-replaced-10000 token count,opt-hau-replaced-10000 token/words,opt-hau-replaced-10000 tokenisation time,opt-hau-replaced-15000 token count,opt-hau-replaced-15000 token/words,opt-hau-replaced-15000 tokenisation time,opt-hau-added-100 token count,opt-hau-added-100 token/words,opt-hau-added-100 tokenisation time,opt-hau-added-500 token count,opt-hau-added-500 token/words,opt-hau-added-500 tokenisation time,opt-hau-added-1000 token count,opt-hau-added-1000 token/words,opt-hau-added-1000 tokenisation time,opt-hau-added-2000 token count,opt-hau-added-2000 token/words,opt-hau-added-2000 tokenisation time,opt-hau-added-5000 token count,opt-hau-added-5000 token/words,opt-hau-added-5000 tokenisation time,opt-hau-added-10000 token count,opt-hau-added-10000 token/words,opt-hau-added-10000 tokenisation time,opt-hau-added-15000 token count,opt-hau-added-15000 token/words,opt-hau-added-15000 tokenisation time,hau token count,hau token/words,hau tokenisation time
eng,5008374,5936426,1.1853000594604157,5.540843725204468,5931132,1.184243029773735,5.204821586608887,5930251,1.1840671243800882,5.906534433364868,5930748,1.1841663581833146,6.392564296722412,5933493,1.1847144402554601,5.821834564208984,5955356,1.1890797292694195,5.092544794082642,6002720,1.1985366907503314,5.1894450187683105,6068834,1.2117373822322375,5.216160297393799,5976061,1.1932138055185175,5.269655466079712,6090072,1.2159778802461638,5.306814432144165,6184014,1.2347348660463455,5.290918588638306,6364272,1.2707261877807048,5.799731016159058,6922054,1.3820960655094847,5.770108222961426,7486234,1.4947434037474039,7.049145698547363,7813276,1.5600424409199474,6.672679424285889,7058647,1.4093689888175285,6.263394117355347
hau,4709507,9451666,2.0069332097818307,8.023224830627441,9040986,1.9197308762891743,7.076267242431641,8831512,1.8752519106564658,7.316596031188965,8688968,1.8449846236559369,6.975606679916382,8616460,1.8295885323028505,6.469361782073975,8499944,1.804847938436019,6.867953062057495,8440573,1.7922413110331932,7.217990398406982,8412547,1.7862903696713903,6.709362745285034,8363757,1.7759304742513389,6.762930870056152,7351949,1.5610867549405913,5.377701044082642,6861477,1.4569416713893832,5.586698532104492,6423627,1.3639701565365547,4.8834967613220215,5994771,1.272908395719552,4.876112937927246,5795344,1.2305627744050491,4.535270690917969,5702539,1.2108568901160992,4.193872928619385,5354319,1.136917091321873,5.543372631072998
