,words count,OPT BPE token count,OPT BPE token/words,OPT BPE tokenisation time,opt-amh-replaced-100 token count,opt-amh-replaced-100 token/words,opt-amh-replaced-100 tokenisation time,opt-amh-replaced-500 token count,opt-amh-replaced-500 token/words,opt-amh-replaced-500 tokenisation time,opt-amh-replaced-1000 token count,opt-amh-replaced-1000 token/words,opt-amh-replaced-1000 tokenisation time,opt-amh-replaced-2000 token count,opt-amh-replaced-2000 token/words,opt-amh-replaced-2000 tokenisation time,opt-amh-replaced-5000 token count,opt-amh-replaced-5000 token/words,opt-amh-replaced-5000 tokenisation time,opt-amh-replaced-10000 token count,opt-amh-replaced-10000 token/words,opt-amh-replaced-10000 tokenisation time,opt-amh-replaced-15000 token count,opt-amh-replaced-15000 token/words,opt-amh-replaced-15000 tokenisation time,opt-amh-added-100 token count,opt-amh-added-100 token/words,opt-amh-added-100 tokenisation time,opt-amh-added-500 token count,opt-amh-added-500 token/words,opt-amh-added-500 tokenisation time,opt-amh-added-1000 token count,opt-amh-added-1000 token/words,opt-amh-added-1000 tokenisation time,opt-amh-added-2000 token count,opt-amh-added-2000 token/words,opt-amh-added-2000 tokenisation time,opt-amh-added-5000 token count,opt-amh-added-5000 token/words,opt-amh-added-5000 tokenisation time,opt-amh-added-10000 token count,opt-amh-added-10000 token/words,opt-amh-added-10000 tokenisation time,opt-amh-added-15000 token count,opt-amh-added-15000 token/words,opt-amh-added-15000 tokenisation time,amh token count,amh token/words,amh tokenisation time
eng,5008374,5936426,1.1853000594604157,2.6568708419799805,5936388,1.1852924721676137,2.555920124053955,5934053,1.18482625299149,2.6648600101470947,5935128,1.1850408935115468,2.6672539710998535,5935868,1.185188646055586,2.6794471740722656,5958817,1.1897707719112032,2.6476011276245117,6010273,1.2000447650275319,2.8054096698760986,6076723,1.2133125441510557,2.684798002243042,5936378,1.1852904755116132,2.6661269664764404,5933798,1.1847753382634763,2.668745994567871,5942610,1.1865347915311437,2.6672940254211426,5940101,1.1860338305406106,2.5171189308166504,5939998,1.186013264983805,2.622299909591675,5966297,1.1912642705995997,2.6143581867218018,5968469,1.191697944282915,2.871401071548462,11385072,2.2732072325269637,2.850874185562134
amh,6758687,71729696,10.612963139142263,10.533945798873901,38718227,5.728661055024445,7.41563606262207,33901180,5.0159417058372435,7.325536012649536,31968311,4.729958792292053,7.133212089538574,27599113,4.083502165435387,6.740638971328735,30053412,4.446634679191387,6.9927661418914795,29060115,4.299668707842218,7.093630075454712,23050170,3.410450876035538,6.808838129043579,32581831,4.820733820045224,6.044647932052612,21991703,3.253842499290173,4.056376218795776,19203035,2.8412375066340547,3.5936789512634277,16789788,2.484178953693225,3.2944283485412598,14187375,2.0991318284157856,3.107384204864502,12678242,1.8758439324087652,2.9456188678741455,11954836,1.7688104213140807,3.0572750568389893,10964326,1.622256808164071,6.0293779373168945
