,OPT BPE,opt-amh-replaced-100,opt-amh-replaced-500,opt-amh-replaced-1000,opt-amh-replaced-2000,opt-amh-replaced-5000,opt-amh-replaced-10000,opt-amh-replaced-15000,opt-amh-added-100,opt-amh-added-500,opt-amh-added-1000,opt-amh-added-2000,opt-amh-added-5000,opt-amh-added-10000,opt-amh-added-15000,amh
eng,1.1853000594604157,1.1852924721676137,1.18482625299149,1.1850408935115468,1.185188646055586,1.1897707719112032,1.2000447650275319,1.2133125441510557,1.1852904755116132,1.1847753382634763,1.1865347915311437,1.1860338305406106,1.186013264983805,1.1912642705995997,1.191697944282915,2.2732072325269637
amh,10.612963139142263,5.728661055024445,5.0159417058372435,4.729958792292053,4.083502165435387,4.446634679191387,4.299668707842218,3.410450876035538,4.820733820045224,3.253842499290173,2.8412375066340547,2.484178953693225,2.0991318284157856,1.8758439324087652,1.7688104213140807,1.622256808164071
